Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
17-016251,2017-05,04/07/2017 19:20,Y, , ,1, ,211000,3,DUI-DRVING WHILE INTOXICATED                      ,1920,S 8TH ST            ,21, , ,1879,9TH,905084.8,1010472
17-022082,2017-05,05/09/2017 22:48,Y, , ,1, ,36111,1,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS          ,5201,S GRAND BLVD        ,3,DOMINO S, ,5201,GRAND,891031.8,997070.8
17-022744,2017-05,5/13/2017 12:38,Y, , ,1, ,31421,5,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS         ,4429,KENNERLY AVE        ,57, , ,4429,KENNERLY,893715.7,1030363
17-018221,2017-05,05/08/2016 12:00,Y, , ,1, ,21000,3,RAPE -- FORCIBLE                                  ,2600,CALIFORNIA AVE      ,24, , ,2600,CALIFORNIA,0,0
17-022264,2017-05,05/10/2017 20:30,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4115,W PENROSE ST        ,68, , ,4130,PENROSE,898636.8,1033789
17-021706,2017-05,05/07/2017 23:30,Y, , ,1, ,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,8515,TARA LN             ,73, ,GARAGE,8515,TARA,892905.9,1048647
17-022556,2017-05,05/09/2017 23:00,Y, , ,1, ,69602,1,"LARCENY-ALL OTHER $500 - $24,999                  ",5119,S BROADWAY          ,17, , ,5119,BROADWAY,894654.3,994972.3
17-021786,2017-05,4/17/2017 22:43,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,4514,CLARENCE AVE        ,68, , ,4514,CLARENCE,898338.4,1036040
17-022425,2017-05,05/11/2017 15:05,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,3950,CARTER AVE          ,67, , ,,,900334.3,1033366
17-016100,2017-05,10/15/2010 0:01,Y, , ,1, ,43025,6,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC           ,4876,MARGARETTA AVE      ,69, , ,4876,MARGARETTA,892502.3,1035422
17-022525,2017-05,05/12/2017 8:40,Y, , ,1, ,43015,5,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC           ,0,N EUCLID AVE / FOUNTAIN AVE,53, ,@WASHINGTON MONTESORI,,,888789.4,1027499
17-022335,2017-05,05/11/2017 8:44,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,5887,PAGE BLVD           ,78, ,SIDEWALK,5887,PAGE,881427.4,1032335
17-022503,2017-05,05/11/2017 17:00,Y, , ,1, ,64701,5,LARCENY-FROM MTR VEH UNDER $500                   ,6128,WATERMAN BLVD       ,46, ,REAR PARKING PAD,6128,WATERMAN,877905.1,1025719
17-022512,2017-05,05/12/2017 7:50,Y, , ,1, ,91113,5,SIMPLE ASSAULT-ADULT/NO INJURY                    ,1408,N KINGSHIGHWAY BLVD ,53, , ,1408,KINGSHIGHWAY,888420.4,1030180
17-022627,2017-05,05/12/2017 17:30,Y, , ,1, ,91113,6,SIMPLE ASSAULT-ADULT/NO INJURY                    ,5458,GERALDINE AVE       ,71, , ,,,894627.8,1041469
17-022454,2017-05,05/11/2017 19:55,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,10000,RIVERVIEW DR        ,75, ,ROADWAY,,,906291.5,1060106
17-022702,2017-05,5/13/2017 7:45,Y, , ,1, ,250000,3,LOITERING-BEGGING                                 ,0,S 9TH ST / LAFAYETTE AVE,21, , ,,,905255.8,1011437
17-022605,2017-05,05/12/2017 16:30,Y, , ,1, ,229999,3,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE                ,2608,SIDNEY ST           ,23, , ,2607,GRAVOIS,899462.4,1009422
17-022650,2017-05,05/12/2017 21:15,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3030,N EUCLID AVE        ,55, , ,3030,EUCLID,891315.8,1033702
17-022729,2017-05,5/13/2017 0:30,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,4960,HARNEY AVE          ,71, , ,4960,HARNEY,894795.7,1039875
17-022798,2017-05,5/13/2017 14:30,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,270,N SKINKER BLVD      ,46, , ,270,SKINKER,877134.8,1025569
17-022750,2017-05,5/13/2017 12:45,Y, , ,1, ,41013,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,2216,PORTIS AVE          ,13, , ,,,887858.8,1011930
17-022706,2017-05,05/12/2017 12:00,Y, , ,1, ,65701,3,LARCENY-MTR VEH PARTS UNDER $500                  ,0,S GRAND BLVD / HARTFORD ST,25, , ,,,893884.9,1008098
17-022131,2017-05,05/10/2017 7:05,Y, , ,1, ,35112,4,ROBBERY-GAS STA/FIREARM USED/ATTEMPT              ,4500,N BROADWAY          ,64,ENERGY EXPRESS/PHILLIPS 66,NEXT TO PUMP NUMBERS 13 AND 14,4500,BROADWAY,905164,1033720
17-022749,2017-05,5/13/2017 11:59,Y, , ,1, ,91113,5,SIMPLE ASSAULT-ADULT/NO INJURY                    ,5121,DELMAR BLVD         ,51,INTERSTATE BLOOD BANK,PARKING LOT,5121,DELMAR,886474.4,1026474
17-022899,2017-05,5/14/2017 10:25,Y, , ,1, ,241100,3,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,3150,S GRAND BLVD        ,25, , ,3150,GRAND,893905,1007810
17-022425,2017-05,05/11/2017 15:05,Y, , ,1, ,41021,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE      ,3950,CARTER AVE          ,67, , ,,,900334.3,1033366
17-021716,2017-05,05/08/2017 8:13,Y, , ,1, ,73413,4,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48    ,1220,WARREN ST           ,63, , ,1220,WARREN,907350.3,1025616
17-022525,2017-05,05/12/2017 8:40,Y, , ,1, ,43012,5,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE    ,0,N EUCLID AVE / FOUNTAIN AVE,53, ,@WASHINGTON MONTESORI,,,888789.4,1027499
17-022469,2017-05,05/11/2017 21:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3946,MINNESOTA AVE       ,16, , ,3946,MINNESOTA,895515.6,1001592
17-022504,2017-05,05/12/2017 7:29,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1116,BRISTOL LN          ,63, ,BRISTOL PLACE APARTMENTS,1116,BRISTOL,908357.4,1024419
17-022543,2017-05,05/12/2017 7:50,Y, , ,1, ,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4590,CHILDRENS PL        ,38, ,APPROXIMATELY AT THE INTERSECTION OF N. KINGSHIGHWAY AND MARYLAND,4590,CHILDRENS,887148.7,1020992
17-022627,2017-05,05/12/2017 17:30,Y, , ,1, ,91123,6,SIMPLE ASSAULT-CHILD/NO INJURY                    ,5458,GERALDINE AVE       ,71, , ,,,894627.8,1041469
17-022681,2017-05,5/13/2017 2:00,Y, , ,1, ,178200,4,SEX OFFNS-EXPOSURE/EXPOSING PERSON                ,1100,WASHINGTON AVE      ,35, ,ON STREET,,,0,0
17-022733,2017-05,5/13/2017 10:45,Y, , ,1, ,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY                    ,1408,S 10TH ST           ,34,ST VINCENTS CHURCH,LASALLE NEIGHBORHOOD,922,PARK,905682.5,1012237
17-022703,2017-05,5/13/2017 6:50,Y, , ,1, ,91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",3817,WISCONSIN AVE       ,18, , ,3817,WISCONSIN,899437.8,1001982
17-022841,2017-05,5/13/2017 23:25,Y, , ,1, ,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4139,N 22ND ST           ,65, , ,4131,22ND,903213.4,1031008
17-022731,2017-05,5/13/2017 11:12,Y, , ,1, ,211000,2,DUI-DRVING WHILE INTOXICATED                      ,2139,ALFRED AVE          ,13, , ,2139,ALFRED,888021.8,1011945
17-022713,2017-05,05/12/2017 10:45,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,5001,WEST PINE BLVD      ,38, , ,26,TAYLOR PLACE,887329.6,1022870
17-021982,2017-05,05/09/2017 12:30,Y, , ,1, ,241100,6,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,4415,NATURAL BRIDGE AVE  ,69, ,LIBRARY- JULIA DAVIS BRANCH,,,895362.3,1033087
17-022805,2017-05,5/13/2017 18:20,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT                         ,0,S BOYLE AVE / I 64 EASTBOUND,39, ,ALIAS EB40/BOYLE,,,890647.1,1018734
17-022635,2017-05,05/12/2017 18:30,Y, , ,1, ,31212,5,ROBBERY-HIGHWAY       /KNIFE USED/ATTEMPT         ,0,PERSHING AVE / N TAYLOR AVE,38, , ,,,889615.2,1023936
17-022674,2017-05,5/13/2017 0:20,Y, , ,1, ,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,3635,VISTA AVE           ,29,SAINT LOUIS UNIVERSITY HOSPITAL, ,3635,VISTA,894354.8,1015713
17-022533,2017-05,05/08/2017 18:30,Y, , ,1, ,64701,6,LARCENY-FROM MTR VEH UNDER $500                   ,4324,MARGARETTA AVE      ,68,ST LOUIS DREAM CENTER, ,4324,MARGARETTA,896091.8,1033435
17-022767,2017-05,05/12/2017 20:45,Y, , ,1, ,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,3759,ROBERT AVE          ,4, , ,3759,ROBERT,886208.4,992141.8
17-022678,2017-05,5/13/2017 1:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3118,POTOMAC ST          ,19,GRAVOIS PARK, ,3118,POTOMAC,895737.1,1004693
17-022752,2017-05,05/12/2017 9:00,Y, , ,1, ,64701,2,LARCENY-FROM MTR VEH UNDER $500                   ,5611,DEVONSHIRE AVE      ,7, , ,5611,DEVONSHIRE,880637.6,1003208
17-021989,2017-05,05/09/2017 13:10,Y, , ,1, ,241100,3,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,3452,KEOKUK ST           ,16, , ,3930,BROADWAY,893690.4,1002327
17-022502,2017-05,05/11/2017 20:30,Y, , ,1, ,64701,1,LARCENY-FROM MTR VEH UNDER $500                   ,4368,ELLENWOOD AVE       ,5, , ,4368,ELLENWOOD,886463.3,1002337
17-022722,2017-05,05/12/2017 23:59,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3674,LIERMANN AVE        ,16, , ,3674,LIERMANN,892333.8,1001688
17-022891,2017-05,5/13/2017 23:30,Y, , ,1, ,71030,6,AUTO THEFT-PERM RETNT/JOY RIDE                    ,4538,ADELAIDE AVE        ,68, , ,4538,ADELAIDE,899818.1,1034382
17-022724,2017-05,05/12/2017 19:00,Y, , ,1, ,64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,1805,HICKORY ST          ,32, , ,1805,HICKORY,902843.8,1014349
17-022780,2017-05,05/11/2017 18:00,Y, , ,1, ,64701,2,LARCENY-FROM MTR VEH UNDER $500                   ,5749,DELOR ST            ,7, ,INSIDE VEHICLE,5749,DELOR,879734.7,1001686
17-022779,2017-05,5/13/2017 5:30,Y, , ,1, ,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,762,PONCE AVE           ,74, , ,762,PONCE,897487.3,1046979
17-022553,2017-05,05/10/2017 7:00,Y, , ,1, ,64701,6,LARCENY-FROM MTR VEH UNDER $500                   ,6432,PRESCOTT AVE        ,79, ,GARAGE,6432,PRESCOTT,900378.8,1039658
17-022925,2017-05,05/10/2017 23:59,Y, , ,1, ,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,120,E CATALAN ST        ,2, , ,,,887220.5,985337
17-022820,2017-05,5/13/2017 17:00,Y, , ,1, ,65701,3,LARCENY-MTR VEH PARTS UNDER $500                  ,0,ARSENAL ST / S GRAND BLVD,25, , ,,,893925.6,1008454
17-022806,2017-05,5/13/2017 13:00,Y, , ,1, ,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999               ",701,CONVENTION PZ,35, ,@EDWARD JONES DOME,,,908773.3,1019107
17-022859,2017-05,5/14/2017 1:07,Y, , ,1, ,91303,5,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY           ,1451,N KINGSHIGHWAY BLVD ,51,CROWN MART,PARKING LOT,,,888171.9,1030307
17-022890,2017-05,5/14/2017 9:00,Y, , ,1, ,151130,4,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING            ,1445,WRIGHT ST           ,63, , ,,,905842.3,1026387
17-022483,2017-05,05/12/2017 0:13,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT                         ,0,I 55 NORTHBOUND / PARK AVE,21, ,ON INTERSTATE,1325,GRAND,906535.6,1012224
17-022715,2017-05,5/13/2017 6:00,Y, , ,1, ,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,3607,HAMILTON AVE        ,50, ,VEGAS INN,3607,HAMILTON,884714.6,1038923
17-022922,2017-05,5/14/2017 12:00,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4257,SHREVE AVE          ,69, , ,4257,SHREVE,894040.8,1036514
17-022675,2017-05,5/13/2017 0:01,Y, , ,1, ,51211,5,BURGLARY-RESIDENCE/NIT/FORCE ENT/OCCUPIED         ,5256,DELMAR BLVD         ,38, , ,5256,DELMAR,885088,1026396
17-015935,2017-05,04/05/2017 20:20,Y, , ,1, ,41024,6,ASSLT-AGGRAV-FIREARM-1ST-CHILD-DOMESTIC           ,4126,W FLORISSANT AVE    ,68,BP GAS STATION, ,6040,HARNEY,900142.6,1034662
17-022376,2017-05,05/11/2017 12:15,Y, , ,1, ,115101,3,ATTEMPT FRAUD                                     ,4022,NEBRASKA AVE        ,16, , ,4022,NEBRASKA,896147.3,1001094
17-022357,2017-05,05/11/2017 10:40,Y, , ,1, ,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE                ,811,LOCUST ST           ,35,OLD POST OFFICE PLAZA, ,811,LOCUST,908153.4,1018193
17-020642,2017-05,05/02/2017 11:00,Y, , ,1, ,151110,6,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION          ,6328,WOODLAND AVE        ,70, , ,6328,WOODLAND,887094.2,1043956
17-022751,2017-05,05/12/2017 16:00,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,3900,ALDINE AVE          ,59, , ,3900,ALDINE,896923.5,1026177
17-022705,2017-05,05/12/2017 16:00,Y, , ,1, ,72113,2,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR     ,6655,BERTHOLD AVE        ,44, , ,6655,BERTHOLD,877432.3,1018702
17-022129,2017-05,05/09/2017 22:00,Y, , ,1, ,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",5964,OAKHERST PL         ,48, ,OCCURRED NORTH  ON GOODFELLOW APPROACHING PAGE,5964,OAKHERST,880259.6,1031844
17-022757,2017-05,5/13/2017 0:30,Y, , ,1, ,64601,1,"LARCENY-FROM MTR VEH $500 - $24,999               ",4240,NEOSHO ST           ,5, , ,4240,NEOSHO,887291.8,1001672
17-022379,2017-05,05/09/2017 16:00,Y, , ,1, ,51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,2008,S 9TH ST            ,21, , ,2008,9TH,904543,1010065
17-022858,2017-05,5/14/2017 2:18,Y, , ,1, ,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,5835,DEGIVERVILLE AVE    ,46, , ,5835,DEGIVERVILLE,880135.4,1026248
17-022529,2017-05,05/08/2017 22:00,Y, , ,1, ,65701,2,LARCENY-MTR VEH PARTS UNDER $500                  ,5301,HAMPTON AVE         ,8, ,@ ROTOLITE,5301,HAMPTON,879276,1001232
17-023025,2017-05,5/15/2017 1:00,Y, , ,1, ,73313,6,AUTO THEFT-MTRCYCLE/PERM RETNT/UNRECOV OVER 48    ,8300,HALL ST,79, , ,,,898134.9,1050543
17-022865,2017-05,5/14/2017 3:30,Y, , ,1, ,31111,3,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,3900,ARKANSAS AVE        ,16, , ,,,893622.9,1002338
17-021922,2017-05,05/09/2017 8:30,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING                          ,301,N 15TH ST           ,36,CONFLUENCE ACADEMY, ,,,905444.9,1018627
17-022845,2017-05,5/14/2017 0:35,Y, , ,1, ,31311,3,ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL         ,2000,GEYER AVE           ,23, , ,,,901667.9,1011442
17-022816,2017-05,5/13/2017 19:00,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4400,W FLORISSANT AVE    ,69,O FALLON PARK, ,,,898630.3,1036933
17-022192,2017-05,05/10/2017 13:10,Y, , ,1, ,182250,6,DRUGS-POSSESSION/COCAINE                          ,5635,PARK LN             ,76, , ,,,890910.7,1046680
17-022250,2017-05,05/10/2017 19:02,Y, , ,1, ,182260,3,DRUGS-POSSESSION/METHAMPHETAMINE                  ,0,CHIPPEWA ST / INDIANA AVE,18, , ,,,898694,1002430
17-022987,2017-05,5/14/2017 19:30,Y, , ,1, ,130000,1,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",0,ADKINS AVE / SCHILLER PL,5, , ,,,886965.5,999178.3
17-022644,2017-05,05/12/2017 8:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,5622,DELMAR BLVD         ,47, , ,5622,DELMAR,882053.1,1026741
17-022821,2017-05,5/13/2017 19:59,Y, , ,1, ,91303,5,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY           ,2,MARYLAND PLZ        ,38,COFFEE CARTEL, ,2,MARYLAND,888340.1,1023682
17-022600,2017-05,05/12/2017 13:00,Y, , ,1, ,51112,6,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED       ,5969,SUMMIT AVE          ,73, , ,5969,SUMMIT,892192.2,1048517
17-023140,2017-05,5/13/2015 22:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,4666,ALASKA AVE          ,16, , ,4666,ALASKA,893007.8,997695.3
17-022742,2017-05,05/12/2017 17:00,Y, , ,1, ,65701,1,LARCENY-MTR VEH PARTS UNDER $500                  ,4734,MILENTZ AVE         ,6, , ,4733,MILENTZ,882918,998337.9
17-022106,2017-05,05/10/2017 1:33,Y, , ,1, ,43012,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE    ,8946,HALLS FERRY RD      ,74, , ,8946,HALLS FERRY,894778.1,1051331
17-022807,2017-05,05/11/2017 23:00,Y, , ,1, ,117000,5,FAILURE TO RETURN BORROWED/RENTED VEHICL          ,5054,GRANBERRY WAY LN    ,52, , ,5054,GRANBERRY WAY,890036.4,1034164
17-022193,2017-05,05/10/2017 13:15,Y, , ,1, ,51122,3,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED       ,2932,EADS AVE            ,31, , ,2932,EADS,897683.9,1013736
17-022735,2017-05,5/13/2017 1:00,Y, , ,1, ,64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,1201,MISSOURI AVE        ,32, , ,1201,MISSOURI,900935,1014659
17-022834,2017-05,5/13/2017 22:50,Y, , ,1, ,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,3652,S JEFFERSON AVE     ,18,GERMAN CULTURAL SOCIETY,@ REAR PARKING LOT,3652,JEFFERSON,898580.3,1003136
17-022773,2017-05,5/13/2017 14:30,Y, , ,1, ,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,3309,S GRAND BLVD        ,15,ST LOUIS LIRARY- CARPENTER BRANCH, ,3309,GRAND,893528.9,1006259
